Protestas conjuntas,Nombre,Abreviacion,Seccion,Tipo1,Tipo2,Tipos,Nombre corto,Aparece en RFOSC,Tipo de organización,Forma organizativa,Alcance,Figura jurídica,Precisión del domicilio determinado,Alcance_Estatal,Domicilio,Geolocalización,Sitios web de referencia,lat,lon,Actores adherentes / Aliados,Redes en que participa,Descripción / Historia,Misión / Objetivos
1,Movimiento Mexicano de Solidaridad con Cuba,MMSC,,SI,,SI,MMSC,No,Discreta,Civil,local,Desconocida,Municipial,CDMX,"Delegación Cuauhtémoc, Ciudad de México","19.4328466,-99.1708249,14z",https://www.facebook.com/mmsc1996/?ref=br_rs | http://mmscuba.blogspot.mx/,19.4328466,-99.1708249,,,Fundación en febrero de 1996,
2,Movimiento Mexicano de Solidaridad con Palestina,MMSP,,SI,,SI,MMSP,No,Paraguas,Civil,local,Desconocida,Municipial,CDMX,"Delegación Cuauhtémoc, Ciudad de México","19.4328466,-99.1708249,14z",https://mexicopalestina.wordpress.com/ | http://www.jornada.unam.mx/2009/01/09/index.php?section=politica&article=016n1pol | http://www.somoselmedio.org/article/%C2%BFpor-qu%C3%A9-salimos-la-calle-en-apoyo-palestina,19.4328466,-99.1708249,México por Palestina | Estudiantes Mexicanos en Solidaridad con Palestina | Partido Obrero Socialista | Movimiento Mexicano de Solidaridad con Cuba | Comité de Solidaridad México-Palestina,,"La noche del 7 de enero de 2009, una asamblea de personas y organizaciones tomamos la decisión de conformar el Movimiento Mexicano de Solidaridad con Palestina. Acordamos convocar de manera nacional a expresar el repudio al genocidio que desarrolla el Estado isreaelí en contra del pueblo palestino.","Alto a la agresión militar israelí contra la población civil de Gaza, la exigencia del rompimiento de relaciones diplomáticas y comerciales México e Israel, y en especial se pide que no se suministre petróleo mexicano al Estado de Israel"
1,Movimiento México Despierta,,,2P,,2P,MovMexDespierta,Sí,Discreta,Civil,local,Asociación Civil,Sede determinada,Tabasco,"Benito Juárez 212, Centro, Macuspana, Tabasco","17.760672,-92.5944142,17z",https://www.facebook.com/mexicodespierta/?ref=br_rs | http://www.la-verdad.com.mx/movimiento-mexico-despierta-c-43701.html,17.760672,-92.5944142,,,"La organización Movimiento México Despierta A.C. nace como un instrumento de la Sociedad, ante la indiferencia de los Partidos Políticos y de los Organos de Gobierno Responsables, por participar de manera activa a implementar Programas y Políticas que coadyuven a disminuir el enorme rezago de exclusión, desigualdad y falta de oportunidades, en la que viven miles de familias del campo y las zonas urbanas, principalmente indígenas choles y chontales en el Estado de Tabasco.","Prestación de servicios de apoyo a la creación y fortalecimiento de organizaciones que realicen actividades objeto de fomento por esta Ley. Humanismo, conciencia y acción ante desigualdad."
8,"Movimiento Migrante Mesoamericano, No Nos Vamos",MMM,,MIG,,MIG,MMM,Sí,Discreta,Civil,nacional,Asociación Civil,Sede determinada,Nacional,"ciudad de méxico, delegación Benito Juárez, colonia Del Valle Centro, calle Gabriel Mancera, 1817","19.363683,-99.1721194,17z",https://movimientomigrantemesoamericano.org,19.363683,-99.1721194,,,"Somos personas y organizaciones que hemos luchado siempre por expandir, desde los lugares de origen, las acciones políticas y sociales permanentes de la solidaridad con la lucha de nuestros hermanos y hermanas migrantes que encabezan el movimiento social por la movilidad humana en el marco del reconocimiento de los derechos plenos de los trabajadores internacionales en Mesoamérica, Estados Unidos de Norteamérica y en el resto del Mundo.","Estamos aquí y allá, con el propósito de promover una política regional de solidaridad y respuesta a la creciente demanda de la movilidad humana que hoy se ve obligada a salir y organizarse en defensa de sus derechos adquiridos, producto de su antigüedad, su productividad y creación de riqueza, como consumidor y pagador de impuestos, así como del propio sacrificio social que representa para la lucha social y reivindicatoria tanto de sus lugares de origen como en los de destino."
1,Movimiento Mujeres de Izquierda ante la Emergencia Nacional,,,MU,,MU,MovMujeresIzq,No,Discreta,Civil,nacional,Desconocida,Sede determinada,Nacional,Centro Deportivo Villa Olímpica,"19.3005292,-99.1858822,15z",https://www.facebook.com/pg/Movimiento-Mujeres-de-Izquierda-ante-la-Emergencia-Nacional-201759339879306/about/ | http://www.gloobal.net/iepala/gloobal/fichas/ficha.php?entidad=Textos&id=15166&htmltable=1 | http://www.jornada.unam.mx/2011/07/18/politica/012n1pol,19.3005292,-99.1858822,,,"Los días 16 y 17 de Julio de 2011, 716 mujeres de izquierda de 29 entidades de la república, nos reunimos con el fin de analizar de manera crítica la situación de emergencia nacional que vivimos como mujeres y como pueblo, y construir estrategias para cambiar el sistema económico, político y cultural en que vivimos y en el que ninguno de los tres órdenes de gobierno ha cumplido su responsabilidad de velar por el bienestar de la ciudadanía y garantizar sus derechos humanos. Hemos resistido a un gobierno autoritario, militarizado y corrupto en todo sentido, ¡PERO YA NO MÁS! Las mujeres de izquierda estamos indignadas pero no hemos perdido la esperanza. Estamos llenas de dolor y rabia pero dispuestas a luchar por cambiar este sistema y las estructuras sobre las que funciona.","Ante el gobierno actual que criminaliza a las organizaciones sociales, ante un gobierno que ha desatado una guerra contra la ciudadanía, ante un gobierno que instrumenta la rapacidad de los ricos contra los pobres, nos hemos propuesto  “iniciar un proceso de organización, discusión, acuerdos y acciones que fortalezcan la creciente articulación del movimiento de mujeres para el cambio político, económico y cultural que requiere el país”. Pugnarán por el aborto libre y gratuito, defender los derechos de las trabajadoras y volver a “tomar las calles” con consignas que unan a las mujeres del país, al margen de los partidos, los cuales no nos representan."
2,"Movimiento Nacional ""Los de Abajo""",,Puebla,AP,,AP,MovLosDeAbajo-Pue,No,Discreta,Urbano-gremial,local,Asociación Civil,Municipial,Puebla,Puebla de Zaragoza,"19.0401962,-98.2631765,12z",https://www.facebook.com/Movimiento-Nacional-Los-de-Abajo-664939633620985/ | https://www.youtube.com/watch?v=mQGiVG4iy_g | https://www.youtube.com/watch?v=mZG4uQ5lUnk,19.0401962,-98.2631765,,,"Fuertemente relacionado con el PRD. El 26 de julio de 2013, el Movimiento Nacional Los de Abajo, que lidera en Puebla la diputada Roxana Luna, advirtió que aquí ""se podría dar un conflicto similar al de Atenco"".",
35,Movimiento Popular Guerrerense,MPG,,RP,,RP,MPG,No,Paraguas,Civil,local,Desconocida,Municipial,Guerrero,"Acapulco, Guerrero","16.8281211,-99.824288,14z",https://www.facebook.com/Movimiento-Popular-Guerrerense-MPG-1723914124544076/ | http://www.juventudcomunista.org/index.php?option=com_content&view=article&id=225%3Amovimiento-popular-guerrerense-tiene-como-objetivo-principal-revertir-la-reforma-educativa&catid=6%3Aarticulos&Itemid=6,16.8281211,-99.824288,Frente de Organizaciones Democráticas del Estado de Guerrero | Sindicato Único de Trabajadores del Colegio de Bachilleres | Coordinadora Estatal de Trabajadores de la Educación en Guerrero (CETEG) | Sindicato Único de Servidores Públicos del Estado | ejidatarios de Alta Icacos | Consejo de Ejidos y Comunidades Opositores a la Presa La Parota | Coordinadora Regional de Autoridades Comunitarias-Policía Comunitaria (CRAC-PC),,"Aglutina organizaciones sociales y sindicatos en la entidad. Fue conformado el 10 de abril una vez que finalizó la primer mega marcha a la que convoco la Coordinadora Estatal de Trabajadores de la Educación de Guerrero (CETEG), a la cual acudieron profesores disidentes de comunidades de guerrero, madres y padres de familia, organizaciones de la sociedad civil a fines a la causa, todos ellos contaron con el apoyo de la Coordinadora Regional de Autoridades Comunitarias-Policía Comunitaria (CRAC-PC).",tiene como objetivo principal revertir la Reforma Educativa
2,Movimiento por la Paz con Justicia y Dignidad,MPJD,,AV,,AV,MPJD,No,Discreta,Civil,local,Desconocida,Municipial,Morelos,"Cuernavaca, morelos","18.9319595,-99.2756702,13z",http://mpjd.mx/ | https://www.facebook.com/Movimiento-por-la-Paz-con-Justicia-y-Dignidad-124809987605763/?fref=ts,18.9319595,-99.2756702,,,"El Movimiento por la Paz con Justicia y Dignidad es una respuesta de la sociedad civil de México a la violencia que se vive en ese país como consecuencia de la guerra contra el narcotráfico. El movimiento comenzó a tomar forma a partir del 26 de abril de 2011, cuando el poeta Javier Sicilia —cuyo hijo Juan Francisco fue asesinado por personas vinculadas a la delincuencia organizada— llamó a los mexicanos a manifestarse en contra de la violencia, tanto la que producen los grupos criminales como contra la de los cuerpos de seguridad del Estado mexicano. El movimiento comenzó como una Marcha por la Paz con Justicia y Dignidad que salió de Cuernavaca (Morelos) el 5 de mayo de 2011 y arribó al Zócalo la Ciudad de México el 8 de mayo del mismo año",Esclarecer asesinatos y desapariciones y nombrar a las víctimas. Poner fin a la estrategia de guerra y asumir un enfoque de seguridad ciudadana. Combatir la corrupción y la impunidad. Combatir la raíz económica y las ganancias del crimen. Atención de emergencia a la juventud y acciones efectivas de recuperación del tejido social. Democracia participativa.
1,Movimiento Regeneración Nacional,MORENA,,AP,,AP,MORENA,No,Matriz,Urbano-gremial,nacional,Asociación Civil,Sede determinada,Nacional,"Santa Anita #50, Col. Viaducto Piedad, Del. Iztacalco, Distrito Federal, C.P. 08200","19.399097,-99.135087,17z",http://morena.si/,19.399097,-99.135087,,,"Aunque en un inicio (2011) era organización civil, después (julio 2014) consigue registro como partido político",Políticos
3,Movimiento ResISSSTE,ResISSSTE,,TSG,,TSG,ResISSSTE,No,Discreta,Económico-gremial,local,Desconocida,Municipial,Chihuahua,"Ciudad Juárez, Chihuahua","31.6540213,-106.5191467,12z",https://resissste.jimdo.com/ | https://es.scribd.com/document/55952385/Revista-Resissste-Marzo-Abril,31.6540213,-106.5191467,SNTE – 8,CNTE,"El movimiento ResISSSTE surge en nuestro estado de Chihuahua a mediados del mesde marzo de 2007, como una respuesta de los trabajadores al servicio del estado fe-deral, fundamentalmente los trabajadores y las trabajadoras de la educación, a la imposiciónde la nueva ley del ISSSTE y en el marco de la renovación del Comité Ejecutivo de la sec-ción 8 del SNTE, que como recordaremos fue realizada a escondidas y en lo oscurito, rele-gando a los delegados democráticos que eran un número considerable, es decir a las espal-das de la base sindical.El movimiento ResISSSTE rápidamente logró establecer una estructura a nivel estatal y or-ganizó, en sintonía con el movimiento nacional, las mayores movilizaciones que se recuerdenen los últimos 30 años. Realizando mes a mes, desde entonces, asambleas estatales llegó asu Congreso Estatal en noviembre de 2007, de donde surgen de manera formal sus docu-mentos básicos: declaración de principios, programa de acción y estructura orgánica, que si-gue hasta la fecha. Las consignas definidas en dicho Congreso son: “Por la abrogación de laley del Issste y por la democratización del SNTE”.Además de las movilizaciones históricas, el ResISSSTE, como es popularmente conoci-do, estableció de manera paralela a la lucha política, la lucha en el plano legal a través de laimposición de miles de demandas de amparo contra la nefasta ley, lo cual es también, aligual que las movilizaciones, un hecho histórico en la vida de nuestro estado y del país.De marzo de 2007 a la fecha, como todo movimiento social, ha tenido sus altas y susbajas, sus flujos y sus reflujos; ha tenido triunfos políticos y legales, ha tenido la capacidadde reconocer sus errores y definir estrategias de corrección. También, en este periodo, lascircunstancias políticas, sociales y económicas han cambiado en nuestro estado y sobre todoen el país. Hoy nos encontramos en una nueva crisis del sistema capitalista, y particularmen-te los trabajadores y las trabajadoras de la educación nos enfrentamos a un nuevo intento deprivatización del sistema educativo nacional, a través de la llamada Alianza por la Calidad dela Educación, impuesta por la cacique sindical Elba Esther Gordillo y el gobierno espurio deFelipe Calderón.",Por la abrogación de laley del Issste y por la democratización del SNTE
1,Movimiento Resissstencia,Resissstencia,,ED,SPB,ED / SPB,Resissstencia,No,Discreta,Económico-gremial,local,Desconocida,Municipial,Baja California,"Mexicali, B.C.","32.613826,-115.4853962,13z",http://jornadabc.mx/tijuana/12-10-2015/se-suman-maestros-de-mexicali-al-paro-nacional-contra-reforma-educativa,32.613826,-115.4853962,SNTE – 2,,,
1,Movimiento Resistencia Magisterial,MRM,,ED,SPB,ED / SPB,MRM_Resistencia,No,Discreta,Económico-gremial,local,Desconocida,Municipial,Baja California,"Tijuana, Baja California","32.5108551,-117.0057444,13z",http://www.milenio.com/region/Movimiento-Resistencia-Magisterial-asociacion-civil_0_232777010.html,32.5108551,-117.0057444,,CNTE,Maestros disidentes del SNTE,En contra de la reforma educativa
1,Movimiento Sindical Cabeño,MSC,,ED,SPB,ED / SPB,MSC,No,Discreta,Económico-gremial,local,Desconocida,Municipial,Baja California Sur,"Cabo San Lucas, B.C.S.","22.8962649,-109.9505506,14z",http://cabovision.tv/index.php/editoriales/armando-sanchez/11148-que-hay-detras-del-movimiento-sindical-cabeno | http://informadorbcs.com/local/paro-de-escuelas-en-los-cabos-responsabilidad-del-gobierno-estatal-movimiento-sindical-cabeno/,22.8962649,-109.9505506,,,Maestros disidentes del SNTE,En contra de la reforma educativa
6,Movimiento Social por la Tierra,MST,,CA,,CA,MST,No,Paraguas,Económico-gremial,nacional,Desconocida,Municipial,Nacional,Tula de Allende,"20.0503115,-99.4569853,12z",https://www.facebook.com/Movimiento-Social-por-la-Tierra-MST-550433005108376/ |http://www.plazajuarez.mx/index.php/region/item/31423-anuncian-la-creacion-del-movimiento-social-por-la-tierra-mst | http://mst-mexico.blogspot.mx/ | http://www.diariovialibre.com.mx/anuncian-integracion-del-movimiento-social-por-la-tierra/,20.0503115,-99.4569853,FIVAZ | FIOAC,,"Congreso Constitutivo del Movimiento Social por la Tierra (MST) de México el 28 de noviembre de 2015. La intención del movimiento es hacer el reagrupamiento de un conjunto de fuerzas campesinas a lo largo y ancho del país para dar la pelea por la reconstitución y refundación de la nación y que es el fruto de casi año y medio de trabajo, organización y diálogo de distintas asociaciones."," el objetivo del aglutinamiento de fuerzas campesinas y de izquierda, además de luchar y defender sus intereses, pretende participar en la reorganización de la República mexicana."
5,Movimiento Unificador de Lucha Triqui,MULT,,IN,,IN,MULT,No,Discreta,Indígena,local,Desconocida,Municipial,Oaxaca,"Putla Villa de Guerrero, Oaxaca","16.9822806,-98.1964108,10z",http://www.mult.mx/,16.9822806,-98.1964108,,CNI,"El Movimiento de Unificación y Lucha Triqui (MULT) su antecedente inmediato es el Club que en la década de los setentas se formó para hacer frente al acaparamiento feroz de la producción de café y plátano por mestizos de Putla y Juxtlahuaca a cambio de armas y alcohol. El Club buscaba revertir las condiciones que padecían cotidianamente los triquis, para lo cual estableció cooperativas que tenían como propósito enfrentar los mecanismos de intermediación para la venta de los productos comerciales de la zona, principalmente café y plátanos y emprender un proceso de recuperación de las tierras usurpadas por los mestizos, además de adoptar un estilo democrático en la elección de autoridades locales. Como el Club fue creciendo en su afán de hacerle frente a los grandes intereses prevalecientes en la región, vinieron los primeros aprehendidos por su actividad política, se fabricaron delitos en contra de los principales miembros del Club y la región comenzó a dividirse territorialmente de acuerdo con facciones políticas encontradas: por un lado, las comunidades que se identificaban con el Club y por el otro, aquellas que fueron convencidas por el Partido Revolucionario Institucional (PRI) dando como resultado, que a finales de 1975 se empiece a formarse un grupo encabezado por maestros, para oprimir al pueblo triqui por medio de la violencia y empiezan asesinando a Luis Flores García, uno de los promotores y fundadores del Club. Como se intensificaron los problemas entre estas dos facciones, se instaló una partida militar en San Juan Copala, con esto el PRI, empieza a afiliar a los triquis con el apoyo de maestros de la zona a cambio de posiciones y apoyos del partido en el poder y así afiliar a todas las comunidades triquis. Ciertamente en sus inicios tenían a su lado a 28 de las 32 comunidades que al enterarse de sus verdaderas intenciones poco a poco fueron alejándose. El cuartel militar en lugar de aminorar la violencia, provocó efecto contrario y la escalada de violencia no se ha detenido hasta nuestros días, es en ese contexto que surge el Movimiento de Unificación y Lucha Triqui (MULT)","impulsar la unificación de la Nación Triqui (alto a la represión en la Nación Triqui, libertad a todos los presos políticos fuera el ejército de la región y la ejecución de las resoluciones que amparan las tierras comunales) objetivos que dieron sustento a nuestra organización en 1981, por lo que la unificación sigue siendo uno de nuestros objetivos centrales, pero también, nuestra lucha también es por la democratización de la vida nacional; por la construcción del poder popular; por la transformación radical de las condiciones de vida y de trabajo para la erradicación de la pobreza y marginación."
2,Movimiento Urbano Popular,MUP,,RP,,RP,MUP,No,Paraguas,Urbano-gremial,local,Desconocida,Municipial,CDMX,"Delegación Cuauhtémoc, Ciudad de México","19.4328466,-99.1708249,14z",http://movimientos--sociales.blogspot.mx/2008/11/qu-es-el-movimiento-urbano-popular.html | https://www.facebook.com/Movimiento-Urbano-Popular-1384506845142467/,19.4328466,-99.1708249,,promotora por la unidad nacional contra el neoliberalismo (puncn),"El MUP de la CND es un movimiento conformado por diversas organizaciones sociales que tienen su esfera de acción principalmente en la Ciudad de México. El MOVIMIENTO URBANO POPULAR (MUP), es un frente de organizaciones sociales de izquierda, integrante de la PROMOTORA POR LA UNIDAD NACIONAL CONTRA EL NEOLIBERALISMO (PUNCN). Como tal el MUP surge con la construcción de la Coordinadora Nacional del Movimiento Urbano Popular (CONAMUP) y coincide con el nacimiento de la Coordinadora Nacional de Trabajadores de la Educación (CNTE), la Coordinadora Nacional Plan de Ayala (CNPA) y la Coordinadora Sindical Nacional (COSINA), a finales de los 70’s y principios de los 80’s. Durante toda su historia el MUP ha sido un pilar en la lucha contra la represión y en la lucha por la libertad de los presos políticos; ha encabezado la lucha por las libertades democráticas en el país y la defensa de los derechos humanos; ha exigido la protección de las reservas ecológicas del país y al medio ambiente: ha logrado desarrollar innumerables programas de vivienda en todo el territorio nacional, reivindicando el derecho a la vivienda y a la ciudad como derechos humanos elementales. El MUP ha definido con mayor claridad sus planteamientos sobre la vivienda, desarrollo urbano, la defensa de la soberanía nacional, luchando contra la privatización de nuestros recursos naturales, entre ellos el agua. Al mismo tiempo se han rescatado temas tan importantes como: la educación, la cultura, el abasto, la alimentación, la salud, el deporte, la recreación y la protección civil. Situación que obliga al MUP a profundizar el debate sobre estos temas y al mismo tiempo a diversificar y ampliar su plataforma de lucha, para dar respuesta organizada a los reclamos populares sobre estos aspectos. El Movimiento Urbano Popular pone al centro la organización, la movilización y la educación para la conquista de espacios y de demandas, con independencia de los gobiernos y los partidos políticos.","Actualmente el movimiento urbano tiene grandes tareas, tales como: Intensificar la lucha en contra de la aprobación de la Ley de Vivienda generada y ya aprobada por el Senado de la República; Profundizar la articulación del MUP en todo el país y la construcción de la agenda nacional."
1,Mujeres en Acción,,,MU,,MU,MujeresEnAcción,No,Discreta,Civil,local,Asociación Civil,Por mayoría en Eps,Baja California Sur,"Palacio de Gobierno, Perla, La Paz, Baja California Sur","24.1483248,-110.3086044,17z",http://cedoc.inmujeres.gob.mx/ftpg/BCS/BCS_MA11_Programa_Igualdad_2012.pdf,24.1483248,-110.3086044,,,,
1,Mujeres para el Diálogo,,,MU,,MU,MujeresParaElDiálogo,No,Matriz,Civil,nacional,Asociación Civil,Sede determinada,Nacional,"Av. de las Torres 223, Campestre Churubusco, 04200 México D.F.","19.3448478,-99.1377998,17z",https://mujeresparaeldialogo.wordpress.com/ | http://cimacnoticias.com.mx/noticia/leonor-da-concha-una-monja-feminista-en-libertad,19.3448478,-99.1377998,,,"Mujeres para el Diálogo A.C., somos un colectivo de inspiración cristiana que desde hace 32 años trabajamos en la defensa y promoción de los derechos de las mujeres campesinas, indígenas y de barrios urbanos marginados, a través del apoyo a organizaciones de mujeres del movimiento social, así como a redes regionales y nacionales. Nuestro colectivo nace del compromiso con las mujeres más desfavorecidas de México, apoyando su lucha para salir de la pobreza y crecer en el ejercicio de su liderazgo. Leonor Aída Concha fundó la organización en el año 1979 y desde donde trabaja desde hace 37, por los Derechos Humanos de las mujeres.","Promover y fortalecer las organizaciones de mujeres a través de procesos formativos para lograr su pleno desarrollo y el ejercicio de sus derechos. Promover y participar en Redes y Colectivos de Mujeres para lograr su constitución como sujetos sociales capaces de ejercer su ciudadanía. Promover acciones con mujeres y hombres desde la perspectiva de género, para producir cambios institucionales. Establecer alianzas con organizaciones mixtas para articular la perspectiva de género en su trabajo"
1,Nación Purhépecha Zapatista,NPZ,,IN,,IN,NPZ,No,Discreta,Indígena,local,Desconocida,Sede determinada,Michoacán,"Cerritos 132, Guadalupe, Morelia, Michoacán","19.7087184,-101.2264539,17z",https://www.facebook.com/pg/ORGANIZACI%C3%93N-NACI%C3%93N-PURH%C3%89PECHA-ZAPATISTA-128196190600490/about/?ref=page_internal | http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-80272010000100005 | http://www.sicetno.org/pls/apex/f?p=2000100:3:269711460422201::NO::P3_ID:21,19.7087184,-101.2264539,,Congreso Nacional Indígena (CNI) | la Otra Campaña,"La organización Nación Purhépecha Zapatista (ONPZ), es una organización indígena que actúa como movimiento y está integrada, principalmente por hombres y mujeres de origen purhépecha: comuneros, comuneras, ejidatarios, campesinos, artesanos, artesanas, pequeños comerciantes, jóvenes y adultos, algunos profesionistas y estudiantes, etc., conscientes de la situación de dominación, opresión, explotación, marginación y discriminación en que viven las comunidades y los pueblos indígenas, con el propósito de impulsar el proceso de liberación y emancipación de nuestros pueblos indios por todos los medios. Nos reconocemos como un movimiento en acción permanente con objetivos claros, a corto, mediano y largo plazo; con métodos de lucha y de trabajo derivados de la experiencia histórica de lucha y resistencia heroica de nuestros pueblos indígenas, que ha sido constante por más de 500 años. En 1998 algunos de los líderes de la Organización Nación Purépecha (ONP) deciden separarse por diferencias en las estrategias de lucha y la distribución de recursos. Se crea entonces la organización Nación Purépecha Zapatista, más cercana a los postulados del EZLN.","Organización No Gubernamental dedicada a la capacitación en Derechos Hum, de la Mujer, de los Pueblos Indígenas, gestorías varias. La organización Nación Purépecha Zapatista (NPZ) se apoya en diferentes artículos (del 13 al 19) del Convenio 169 de la OIT para respaldar su derecho al reconocimiento de su territorio."
2,Nuestras Hijas de Regreso a Casa,NHRC,,AV,,AV,NHRC,No,Discreta,Civil,local,Asociación Civil,Municipial,Chihuahua,"Ciudad Juárez, Chihuahua","31.6540213,-106.5191467,12z",https://nuestrashijasderegresoacasa.blogspot.mx/ | https://www.facebook.com/groups/12632530923/,31.6540213,-106.5191467,,,"“Nuestras hijas de regreso a casa” es una asociación civil fundada por familiares y amistades de jovencitas desaparecidas o asesinadas en el Estado de Chihuahua, que enfrentamos esta situación de la pérdida de nuestras hijas adoptando una actitud activa que nos permite salir de la impotencia al denunciar los hechos y exigir a las autoridades para que respondan a nuestra demanda de justicia. Nuestra organización surge a principios del 2001, cuando esta terrible experiencia de asesinatos y desapariciones de mujeres que desde 1993 padece la población juarense, se extiende a la ciudad de Chihuahua, donde cinco jovencitas desaparecen en un lapso de dos meses, y sus padres solicitan ayuda solidaria. Las muertes y desapariciones de mujeres y niñas aumentan constantemente. NHRC integra a familias de Ciudad Juárez, sumándose desde entonces a nuestra labor cientos de personas: defensores de derechos humanos, profesionistas, artistas, académicas, psicólogas, etc., de origen tanto nacional como internacional, y de manera lamentable, más familias afectadas por estos hechos.","Acompañar y orientar a las familias cuyas hijas han desaparecido. Reclamar la justicia jurídica y social para las familias afectadas, a través de diferentes acciones. Promover programas de rehabilitación ocupacional para atender la salud física y afectiva de integrantes de las familias que lo soliciten. Impulsar la modificación, elaboración y revisión de artículos de la ley contenidos en el Código Penal del Estado de Chihuahua que permiten estos y otros hechos violentos. Informar oportunamente a la comunidad nacional e internacional acerca de los asesinatos, desapariciones y violaciones a los derechos humanos de mujeres en el Estado de Chihuahua. Promover entre ciudadanos y ciudadanas de cualquier país, organismos internacionales, los gobiernos y las ONG´s, que se pronuncien en contra de los asesinatos y desapariciones de mujeres y a favor de un alto a la impunidad de que gozan actualmente estos crímenes. Demandar que desde la comunidad nacional e internacional se obligue a las autoridades locales, estatales y federales de México, a que destinen las personas y los recursos materiales necesarios para la búsqueda de la solución a esta problemática. Difundir pronunciamientos, informes y diagnósticos que organizaciones e instituciones nacionales e internacionales hagan en relación con la situación que viven las mujeres en el Estado de Chihuahua."
2,Nueva Central de Trabajadores,NCT,,SP,,SP,NCT,No,Paraguas,Económico-gremial,nacional,Desconocida,Municipial,Nacional,"Delegación Cuauhtémoc, Ciudad de México","19.4328466,-99.1708249,14z",http://www.jornada.unam.mx/2014/02/24/politica/009n1pol | http://www.nuevacentral.org.mx/quienes-somos.html#actividades | https://www.facebook.com/NCTdeMexico/,19.4328466,-99.1708249,,"Sindicato Mexicano de Electricistas (SME) | CNTE 14 | CNTE 18 | CNTE 22 | Alianza de Tranviarios | Sindicato Independiente de Trabajadores de la Universidad Autónoma Metropolitana (Situam) | Sindicato Nacional de Trabajadores Mineros, Metalúrgicos, Siderúrgicos y Similares de la República Mexicana (SNTMMSSRM) | Alianza Cooperativista Nacional (ALCONA) | Sindicato de Trabajadores  del Transporte de Pasajeros del Distrito Federal | Sindicato de Trabajadores de General Tire |  Sindicato de Trabajadores de la Universidad Autónoma Chapingo | Confederación de Jubilados y Pensionados de la República Mexicana","La conformación de la NCT ha coincidido con la profundización de la ofensiva en contra de los derechos de la clase trabajadora y del intento de destruir sus organizaciones o de impedir su organización. En todas esas batallas hemos participado. Estuvimos presentes, en la primera línea de lucha, para intentar parar las reformas energética y laboral. Hemos acompañado a nuestros compañeros y compañeras de la Coordinadora Nacional de Trabajadores de la Educación (CNTE), desde siempre, en el intento de parar y luego combatir la aplicación de la mal llamada reforma educativa. Mucho más allá de las simples declaraciones de solidaridad, participamos con nuestros contingentes en sus marchas, ofrecemos nuestros locales sindicales para que puedan realizar sus realizar sus reuniones y de apoyo logístico, y, lo que es más importante, nuestras organizaciones del sector de la educación media y superior impulsan la unidad de todo el sector educativo y la realización de paros de labores para acompañarlos en su lucha. También hemos hecho un gran esfuerzo para impulsar los procesos de organización de nuevos sectores de trabajadores. Ejemplo de ello es nuestro apoyo a los jornaleros del Valle de San Quintín, de las maquiladoras de Ciudad Juárez, de las enfermeras, bomberos, choferes y trabajadores de intendencia. En estos últimos meses hemos libramos una dura batalla en contra de las políticas privatizadoras y antisindicales del gobierno perredista de la Ciudad de México, encabezada por su jefe de gobierno Miguel Ángel Mancera, en contra de la Alianza de Tranviarios de México (ATM), del Sindicato de Trabajadores del Instituto de la Educación Media y Superior (SUTIEMS), del Sindicato de Trabajadores del Transporte de Pasajeros del Distrito Federal (STTPDF) y de otras organizaciones sindicales. No omitimos mencionar que también hemos avanzado en consolidar nuestra alianza con el sector cooperativista nacional, cuyo número e importancia económica crece inversamente a la profundización de la economía capitalista. Actualmente la NCT está integrada por un total de 60 organizaciones, pero ellas incluyen dos centrales sindicales integradas por un total de 12 organizaciones sindicales y una Confederación de organizaciones cooperativistas, Alianza Cooperativista Nacional (ALCONA), que afilia a dos centenares de cooperativas.",crear una representación obrera legítima y apartidista que dé respuesta a las acciones que lleva a cabo el gobierno federal.
